Atm name,Address,Latitude,Longitude,Zone,Easting,Northing,City,Type
YES Bank ATM,"King Circle, Mohan Niwas, 472, Shop No 6, Ground Flr, Dr Baba Saheb Ambedkar Rd",19.0102472,72.8426337,43,272908.7697,2103354.388,matunga,Atm
Canara Bank ATM,"Kalyan Bhuwan, Maheshwari Udyan, Kings Circle",19.0274335,72.856399,43,274381.4957,2105239.344,matunga,Atm
Bank of Baroda ATM,"309, Chandavarkar Road Matunga ( E )",19.2309199,72.8555312,43,274566.5654,2127768.568,matunga,Atm
CANARA BANK ATM1 (formerly Syndicate Bank),"#3-A DADAR MATUNGA ESTATE, KA Subramanyam Rd",19.026875,72.855335,43,274268.7111,2105178.88,matunga,Atm
Bank Of Baroda,"144, Senapati Bapat Marg",19.0284936,72.8463721,43,273327.1892,2105369.621,matunga,Atm
Bank Of India ATM,"Senapati Bapat Road, Near Matunga Road Railway West",19.0293736,72.8467219,43,273365.2143,2105466.595,matunga,Atm
State Bank Of India/ATM,"Near KA Subramanyam Marg East, Rd Number 5",19.0305956,72.8574532,43,274496.7637,2105588.064,matunga,Atm
Bank of Baroda ATM,Matunga Road Flyover,19.0304201,72.8471692,43,273413.7307,2105581.875,matunga,Atm
State Bank Of India ATM,"VJTI Campus, Nathalal Parekh Marg",19.0222181,72.8561212,43,274345.1998,2104662.306,matunga,Atm
Vijaya Bank ATM - Dahisar East Branch,"Saileela Building, CS Rd, near Ashirwad Hospital",19.256978,72.864884,43,275585.5711,2130641.389,dahisar,Atm
Greater Bombay Co-Operative Bank Limited ATM - Dahisar East Branch,"6, Shef Field, Ground Floor, Chhatrapati Shivaji Rd, opposite Jari Mari Garden",19.0903694,72.8627519,43,275135.3076,2112198.795,dahisar,Atm
Dena Bank ATM,"1st Floor,L Bai Jav Ap., Padmakar Jawle Marg, Dahisar East Railway Station Compound, Bharucha Rd, opposite Hotel Malhar",19.2489004,72.859989,43,275059.8678,2129753.441,dahisar,Atm
Janseva Sahakari Bank Borivali Limited ATM - Dahisar East Branch,"Wamanrao Sawant Rd, opposite Dr.Kerkar Clinic",19.2528115,72.8618874,43,275264.8148,2130183.986,dahisar,Atm
Bank Of India - Dahisar East Branch,"Lukhi Empire, Main S.V. Road, Yadav Nagar, Dahisar East",19.2483761,72.8650636,43,275592.7489,2129688.829,dahisar,Atm
Axis Bank ATM,Shop No 3 Dahisar Opposite Green Wood Building,19.4945979,72.8604097,43,275441.1992,2156954.773,dahisar,Atm
Union Bank of India ATM - Dahisar East Branch,"Shiv Om Apartment, Opposite Devi Electronic, Swami Vivekananda Marg",19.2522342,72.8640197,43,275488.2349,2130117.314,dahisar,Atm
Dena Bank ATM,"Krishna Kunj, Near Hotel Ravindra, Swami Vivekananda Marg",19.2509252,72.8633685,43,275417.9799,2129973.235,dahisar,Atm
Abhyudaya ATM,"Madhuram Hall, Hari Shankar Joshi Rd, opposite ICICI Bank Atm",19.2505906,72.8601624,43,275080.4059,2129940.341,dahisar,Atm
Axis Bank ATM,"Shop No 1, Sudam Niwas Dahisar",19.2574665,72.8650191,43,275600.4412,2130695.297,dahisar,Atm
ICICI BANK ATM,"Shop No-2, Vinay Building, Station Road, OPP Dahisar Railway Station Dahisar (East)",19.2494357,72.8596279,43,275022.6282,2129813.172,dahisar,Atm
ICICI Bank Atm,"SHOP NO-15, New Prabhadevi Rd, nr. SAMANA PRESS",19.0101433,72.8295945,43,271535.5608,2103359.785,prabhadevi,Atm
Axis Bank ATM,"Crompton Greaves House, Dr Annie Besant Rd, near Century Bazaar",19.0122933,72.8228834,43,270831.8055,2103606.552,prabhadevi,Atm
ICICI Bank Atm,"Ravindra Natya Mandir, E Kala Academy",19.0153155,72.8306435,43,271653.0906,2103931.041,prabhadevi,Atm
ICICI Bank Atm,"Ludo Mall, Sahakari Bhandar, Agar Bazaar, Church Wadi, Junction Of, SK Bole Marg",19.0187637,72.8328313,43,271888.1734,2104309.952,prabhadevi,Atm
Karnataka Bank ATM,Kashinath Dhuru Marg,19.0203779,72.8313611,43,271735.57,2104490.571,prabhadevi,Atm
Axis Bank ATM,"502, Gr Flr, Bengal Chemical South Side, SVS Rd",19.021482,72.8334834,43,271960.5485,2104610.05,prabhadevi,Atm
HDFC Bank ATM,Ground Floor RBI Employees CHS SN 6 Prabhadevi Ameya,19.017034,72.824558,43,271014.6407,2104129.218,prabhadevi,Atm
HDFC Bank ATM,"Shop No 5, Sai Siddhi Building Umarkhadi, Sandhurst Road",18.9596886,72.8384217,43,272396.5037,2097762.487,prabhadevi,Atm
ICICI ATM,"Appasaheb Marathe Marg, near Reliance Digital",19.0127823,72.8280456,43,271376.0659,2103653.966,prabhadevi,Atm
Sarswat Bank ATM,"S. Ghanekar, Appasaheb Marathe Marg",19.013558,72.829478,43,271527.9606,2103737.981,prabhadevi,Atm
YES Bank ATM,"Siddhi Prabha CHS, No 2, Shop No 4, Gr Flr, Sayani Rd",19.012509,72.828215,43,271393.5302,2103623.488,prabhadevi,Atm
Punjab National Bank ATM,"Mantri Corner, Gokhale Rd",19.0137289,72.8321196,43,271806.3576,2103753.469,prabhadevi,Atm
Bank of Maharashtra,"BANK OF MAHARASHTRA, JANATA SHIKSHAN SANSTHA",19.1678684,72.9494389,43,284359.6548,2120669.251,prabhadevi,Atm
Dhanlaxmi Bank ATM,"Kapadwala Chawl, V.S. Marg",19.0161431,72.8291382,43,271495.714,2104024.622,prabhadevi,Atm
IDFC FIRST Bank ATM,"Sane Guruji Premises Coop Society Ltd, SVS Rd, opposite Sidhi Vinayak Mandir",19.0180567,72.8300154,43,271590.6986,2104235.338,prabhadevi,Atm
ICICI Bank Atm,"Lombard House, 414, SVS Rd, near Siddhi Vinayak Temple",19.016816,72.8302487,43,271613.5689,2104097.675,prabhadevi,Atm
Union Bank Of India ATM - Panvel Branch,142/A Vasudev Balwant Phadke Road Middle Class Co-operative Housing Society Limited,18.9877274,73.1151777,43,301579.7137,2100531.667,panvel,Atm
Union Bank ATM,"Neelgiri Co-Operative Housing Society, Vijay Marg",19.00308,73.1169832,43,301788.024,2102229.091,panvel,Atm
State Bank ATM,"Salman Building, Mahatma Gandhi Rd",18.9905341,73.1066551,43,300685.6,2100851.988,panvel,Atm
HDFC Bank ATM,"Shop No 23, Karishma Corner Old Panvel, opposite Surya Guest House",19.0066794,73.1140123,43,301479.4812,2102630.88,panvel,Atm
IndusInd Bank ATM,"Melody Tower, Parking Lot Rd",18.990874,73.1244955,43,302564.6135,2100869.5,panvel,Atm
Abudhya Co Oprative Bank Limited ATM - Panvel,"Shop No.1 And 2, Kanak Vithal, Plot No.25, Opp. Sub Registrar Office No.2, MTNL Rd",18.9868671,73.1122542,43,301270.8394,2100439.735,panvel,Atm
Warana Bank ATM,"Patidan Chamber, Mulla Hamid Rd",18.9824751,73.1100963,43,301038.3861,2099955.999,panvel,Atm
Bank of India ATM,Shivaji Rd,18.513203,73.8574281,43,379392.6346,2047347.718,panvel,Atm
Union Bank of India ATM,"Nilgiri Building, 1, Panvel Matheran Rd, near Dominos",18.9966501,73.1195595,43,302051.6824,2101514.431,panvel,Atm
Abhyudya Co-Operative Bank Atm - Kamothe Branch,"Dharti Complex, Abhyudaya Bank Building, Sector - 17, Manas Complex Rd",19.0149479,73.0901323,43,298975.0622,2103573.311,panvel,Atm
State Bank Of India ATM,Pacific Heights Sector 11,19.0319492,73.1028725,43,300336.7534,2105440.765,panvel,Atm
Saraswat Bank ATM Panvel Branch,"Shop No 1 & 2, Hare Madhav Niwas, Plot No.48, MTNL Rd",18.9867794,73.1122679,43,301272.178,2100430.012,panvel,Atm
LAKSHMI VILAS BANK ATM,"GROUND FLOOR, CROWN PLAZA, Mulla Hamid Rd",18.9828474,73.1090641,43,300930.1314,2099998.378,panvel,Atm
Vijaya Bank ATM,Ayyappa Rd,19.0371364,73.0243361,43,292075.1019,2106106.147,nerul,Atm
Bank of India ATM,Savitribhai Phule Marg,19.0343845,73.026574,43,292307.2756,2105798.862,nerul,Atm
HDFC Bank ATM,"Plot No 1 & 3, Twins Land CHSL, opposite DY Patil Stadium",19.0420829,73.0266866,43,292328.708,2106650.943,nerul,Atm
HDFC Bank ATM,"Snehadeep Row House, PN 32, Sector 18A, Nerul",19.035385,73.011954,43,290769.3635,2105926.978,nerul,Atm
Citibank,"SEAWOODS GRAND CENTRAL PLOT R Post Office Nerul Node III RAILWAY STATION, Seawoods Station Rd",19.0218844,73.0185706,43,291449.0858,2104424.581,nerul,Atm
Canara Bank ATM,"94, Gaondevi Marg",19.0367735,73.0159307,43,291189.7583,2106075.951,nerul,Atm
State Bank of India ATM,"Ruparel Garden Cooperative Housing Society, Jagatguru Aadi Shankracharya Marg",19.0248876,73.020465,43,291652.285,2104754.788,nerul,Atm
Axis Bank ATM,"Shop No 18 & 19, GF, Beverly Park Bldg Plot No, 20, Sector 6 Nerul Rd",19.0430197,73.009273,43,290496.6967,2106775.347,nerul,Atm
State Bank Of India ATM,Gaondevi Marg,19.0368847,73.014614,43,291051.2795,2106089.828,nerul,Atm
Bank Of Baroda ATM,"Shop No. 18 - 27, Twins Land Bldg, Sector - I, Nerul",19.0450758,73.0235858,43,292006.0081,2106985.931,nerul,Atm
Axis Bank ATM,"Bus Depot, Shop No 3, Plot No 56, Shweta Apartment, Sector 6 Nerul Rd, opposite Sarsole",19.04112,73.014884,43,291085.0054,2106558.358,nerul,Atm
Union Bank Of India ATM,"F-009, Nerul Station Commercial Complex, Nerul Station Road Sector 10",19.033484,73.0175785,43,291359.1223,2105709.842,nerul,Atm
IDBI BANK ATM,"98, Jagatguru Aadi Shankracharya Marg",19.0289885,73.0182657,43,291425.8548,2105211.371,nerul,Atm
