Atm name,Address,Latitude,Longitude,Zone,Easting,Northing,City,Type
Axis Bank ATM,"Shop No 1, Plot 25 A Shivaji Chowk",19.2400635,73.1292177,43,303356.9112,2128448.448,miraroad,Atm
HDFC Bank ATM,"89/93, Poonam Cplx CHS, Shanti Park",19.2794326,72.8579846,43,274890.8177,2133136.316,miraroad,Atm
Saraswat Bank ATM,"Opp.Jyoti Building, Poonam Sagar Rd, near Ayappa Temple",19.275923,72.859257,43,275019.7908,2132746.11,miraroad,Atm
State Bank Atm,"WING-A, MTNL Road, Sai Baba Nagar, Mira Road East",19.2818856,72.8682846,43,275976.9998,2133394.551,miraroad,Atm
Punjab National Bank ATM,"Shanti Park, Mira Road East, opp. Balaji Hotel",19.2766204,72.8700526,43,276155.7091,2132809.35,miraroad,Atm
Union Bank Of India ATM,"Asmita Garden 1, near So-Swagat Restaurant",19.2725034,72.8611481,43,275213.9404,2132365.067,miraroad,Atm
IndusInd Bank ATM,Shop no 2 Mhtare niwas vatak gally penkar pada shrishiti gate,19.2665708,72.8689168,43,276022.6356,2131698.211,miraroad,Atm
IndusInd Bank ATM,"Shop No - 8, Om Palace, Shanti Park Mira Road East",19.280583,72.8666866,43,275807.2303,2133252.404,miraroad,Atm
IDBI Bank ATM Vasai West,"Vasai Station Rd, near New Rishikesh Veg.Treat",19.3822314,72.8303824,43,272131.6874,2144553.667,vasairoad,Atm
Central Bank Of India ATM,Vasai,19.3919275,72.8397317,43,273127.4241,2145614.84,vasairoad,Atm
HDFC Bank ATM,"SN 30 to 36, Vrundavan Shopp Cn, Evershine City, Vasai East",19.4003714,72.8398674,43,273153.3913,2146549.522,vasairoad,Atm
State Bank of India ATM,"16, Sativali Rd",19.4085258,72.8658442,43,275893.522,2147418.333,vasairoad,Atm
Axis Bank ATM,"Vasai Phata, Pelhar, Vasai",19.4302918,72.8723703,43,276608.8374,2149819.629,vasairoad,Atm
ICICI Bank ATM,"Shop No. 6, Sai Charan Building, Vasai Station Rd",19.3839813,72.8303606,43,272131.833,2144747.436,vasairoad,Atm
HDFC Bank ATM,"Mangesh Bhuvan, Ambadi Rd, Vasai West",19.382352,72.829205,43,272008.1502,2144568.575,vasairoad,Atm
DCB Bank ATM,"Gautam Govind, Next to Sarvodaya Bajaj Show Room, Vasai Road (W), Ambadi Rd",19.387916,72.826343,43,271715.2108,2145188.378,vasairoad,Atm
ICICI Bank ATM,"shop no 9, heera panna co op society, Vasai Station Rd, near police station",19.419314,72.806796,43,269705.7648,2148690.641,vasairoad,Atm
CANARA BANK ATM,"MANICKPUR, GODS GIFT BUNGLOW, MARY VILLA STOP, Vasai Station Rd",19.3728555,72.8226236,43,271303.4018,2143525.881,vasairoad,Atm
ICICI Bank Atm,"Regency, Shopno.1, Vaibhav, Vasai Station Rd",19.3751933,72.8252137,43,271578.8114,2143781.28,vasairoad,Atm
Bank of Baroda ATM,"Vasai, Navghar Vasai (east) Branch Dist",19.3822755,72.8328129,43,272387.1124,2144555.341,vasairoad,Atm
Axis Bank ATM,"Ground Floor, Janaki Talkies Compound",19.3426855,72.8049494,43,269403.8766,2140209.099,vasairoad,Atm
Axis Bank ATM,"Shop No 17, Siddhanath CHS Vasai, near St Francis School",19.383111,72.821314,43,271180.1309,2144663.057,vasairoad,Atm
UCO Bank ATM,"Sanskruti Link Rd, Vasant Nagari Rd, opposite Ghar Ho To Aisa",19.406687,72.827963,43,271911.591,2147264.466,vasairoad,Atm
